,s,t,d,s
559,5,149,21.78096695437104,35.0
560,5,150,21.672098253051047,35.0
561,5,151,33.000965120969255,26.5
562,5,152,35.242585246308266,26.5
563,5,153,42.73643641845842,26.5
564,5,156,9.220525056937582,35.0
565,5,157,30.116385821778817,26.5
566,5,158,25.877300230653063,26.5
567,5,159,38.014667370518644,26.5
568,5,160,32.13679516121174,26.5
569,5,161,28.804330845687424,26.5
570,5,162,29.256666422782533,26.5
571,5,163,29.027320510583564,26.5
572,5,164,27.768538357574084,26.5
573,5,165,20.61313875507127,27.5
574,5,166,34.183690045297745,26.5
575,5,167,37.97147469146866,26.5
576,5,168,35.931544563054565,26.5
577,5,169,40.844185512762245,26.5
578,5,170,27.928795340297036,26.5
579,5,171,28.521774991446037,26.5
580,5,174,44.47868556869183,26.5
581,5,175,42.29988522032746,35.0
582,5,176,6.82499328393171,35.0
583,5,177,27.26654401919118,26.5
584,5,178,19.784160664116456,35.0
585,5,180,32.52818625358883,35.0
586,5,181,21.645201053262102,26.5
587,5,182,41.59401889404639,26.5
588,5,183,48.40999065160526,27.5
589,5,184,45.06549070985046,26.5
590,5,185,43.22521000759816,26.5
591,5,187,9.680400209480995,35.0
592,5,188,24.262669888998644,26.5
593,5,189,23.350497980894673,26.5
594,5,190,22.198009283949208,26.5
595,5,191,42.6766288088065,35.0
596,5,192,37.41170147999811,27.5
597,5,193,31.032594944596667,26.5
598,5,194,35.15441783296639,26.5
599,5,195,20.38840571091599,26.5
600,5,196,33.58922765461426,26.5
601,5,197,34.57599484032557,35.0
602,5,198,29.025104256586918,26.5
603,5,199,36.984388813262555,26.5
604,5,201,30.530573565308686,35.0
605,5,202,30.622288601528563,26.5
606,5,203,40.57490235405641,35.0
607,5,204,2.0189650641307004,35.0
608,5,205,39.914518148314784,35.0
609,5,206,13.572690585923613,26.5
610,5,208,43.243406137920665,26.5
611,5,209,23.093399785529126,26.5
612,5,210,21.576468172029998,35.0
613,5,211,24.71074047386491,26.5
614,5,215,37.19873286276071,35.0
615,5,216,34.17491969585704,35.0
616,5,217,892.9736183600421,35.0
617,5,219,41.11861833990239,35.0
618,5,220,43.269549743712034,26.5
619,5,221,12.799106847548778,27.5
620,5,222,28.527626431692216,35.0
621,5,223,34.41403379333408,26.5
622,5,225,24.87590804502086,26.5
623,5,226,29.82639541123169,26.5
624,5,227,18.07455924976992,26.5
625,5,228,19.578088468508447,26.5
626,5,232,24.637980584039923,26.5
627,5,234,26.283341292107963,26.5
628,5,235,40.26051711096394,26.5
629,5,236,30.42530523019616,26.5
630,5,237,31.70037243893268,26.5
631,5,238,30.500285553287803,26.5
632,5,239,29.870108850225165,26.5
633,5,240,45.77698188763617,26.5
634,5,242,43.300277184897446,26.5
635,5,243,37.99793756922945,26.5
636,5,245,11.019992689627461,35.0
637,5,246,27.26136236765118,26.5
638,5,247,37.725412321778734,26.5
639,5,248,41.24206678548937,26.5
640,5,249,25.280208557617392,26.5
641,5,251,8.81810857903446,35.0
642,5,252,41.26158131195219,27.5
643,5,253,44.00072859839763,35.0
644,5,257,21.288977190435293,26.5
645,5,258,32.03910188111093,35.0
646,5,259,46.74352395431575,26.5
647,5,260,32.13556131970956,26.5
648,5,261,23.026216022729848,26.5
649,5,262,32.75242581117557,26.5
650,5,264,3844.417077872081,35.0
651,6,2,19.374533817987924,35.0
652,6,4,15.377524736323704,26.5
653,6,5,12.139368688529538,35.0
654,6,7,21.966746527530912,26.5
655,6,8,22.94711548628669,26.5
656,6,9,29.142652034629247,35.0
657,6,10,24.977406312832155,35.0
658,6,11,5.438220897808363,35.0
659,6,12,11.881352417600308,26.5
660,6,13,12.68604212520053,26.5
661,6,14,4.782023507393633,26.5
662,6,16,30.460537348600802,35.0
663,6,17,15.777817736238145,26.5
664,6,18,33.32920936570341,26.5
665,6,19,31.09162794348516,35.0
666,6,20,31.841633873052608,26.5
667,6,21,7.058947913185799,35.0
